,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
233,It's My Party,Lesley Gore,0.493,128.407,0.687,0.0,0.93,0
234,You Don't Have To Say You Love Me,Dusty Springfield,0.655,111.965,0.243,1.28e-06,0.575,7
235,Don't You (Forget About Me),Simple Minds,0.629,111.29,0.6629999999999999,0.0394,0.648,6
236,Dancing In The Street - Single Version,Martha Reeves & The Vandellas,0.883,126.20299999999999,0.561,0.0305,0.7490000000000001,6
237,Sultans Of Swing,Dire Straits,0.797,148.192,0.731,0.0248,0.9329999999999999,6
238,Will You Love Me Tomorrow,The Shirelles,0.384,137.047,0.49,3.17e-05,0.47,5
239,"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,0.39399999999999996,104.126,0.6940000000000001,0.000677,0.7190000000000001,0
240,Won't Get Fooled Again - Original Album Version,The Who,0.92,135.02700000000002,0.6859999999999999,0.27,0.225,1
241,Smile,Nat King Cole,0.244,85.499,0.185,1.11e-05,0.23199999999999998,3
242,Walk Away Renee,The Left Banke,0.436,118.314,0.474,0.0,0.588,7
243,You've Got a Friend,James Taylor,0.282,91.681,0.695,0.0267,0.445,0
244,I Fought the Law - Single Version,The Bobby Fuller Four,0.804,148.959,0.593,2.22e-06,0.9620000000000001,2
245,I Put a Spell On You,Screamin' Jay Hawkins,0.39899999999999997,173.78099999999998,0.733,0.0254,0.9,2
246,Eleanor Rigby - Remastered,The Beatles,0.28,137.83100000000002,0.581,1.56e-05,0.813,0
247,Son Of A Preacher Man,Dusty Springfield,0.47700000000000004,91.039,0.475,0.0,0.735,7
248,The Twist,Chubby Checker,0.638,156.66299999999998,0.5329999999999999,0.0,0.937,2
249,Wild Thing,The Troggs,0.664,201.583,0.42100000000000004,0.00244,0.574,2
250,Ne me quitte pas,Jacques Brel,0.24,98.009,0.43,0.0061600000000000005,0.36700000000000005,3
251,Massachusetts - Stereo Version,Bee Gees,0.573,102.12200000000001,0.483,3.14e-05,0.506,7
252,Brown Sugar,The Rolling Stones,0.934,128.606,0.633,0.00021,0.963,6
253,(I Left My Heart) In San Francisco,Tony Bennett,0.078,128.065,0.313,4.48e-06,0.125,5
254,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,0.532,136.571,0.601,6.25e-06,0.341,1
255,My Guy,Mary Wells,0.5760000000000001,126.454,0.6970000000000001,4.96e-05,0.927,6
256,Are You Lonesome Tonight? - Remastered,Elvis Presley,0.201,129.689,0.42100000000000004,0.000436,0.188,5
257,Tennessee Waltz,Patti Page,0.163,86.335,0.424,0.000671,0.294,3
258,White Rabbit,Jefferson Airplane,0.293,106.79799999999999,0.551,0.000273,0.322,3
259,Rapper's Delight - Single Version,The Sugarhill Gang,0.6920000000000001,111.78200000000001,0.917,1.09e-05,0.8190000000000001,6
260,Your Cheatin' Heart - Single Version,Hank Williams,0.145,128.08700000000002,0.6709999999999999,2.1000000000000002e-06,0.62,0
261,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,0.7809999999999999,108.695,0.7,0.0034200000000000003,0.385,1
262,The Boys Are Back In Town,Thin Lizzy,0.7120000000000001,78.11399999999999,0.319,0.000414,0.773,7
263,"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,0.349,124.984,0.43799999999999994,5.6999999999999996e-05,0.6829999999999999,5
